week,beer,liters,temp_mean,rain_mm,week_of_year,month,year,time_index,hot_week,rainy_week
2021-11-22,Hoop Anker,50.82,5.014285714285714,19.599999999999998,47,11,2021,0,0,1
2021-11-29,Hoop Anker,182.48999999999998,5.071428571428571,31.599999999999998,48,11,2021,1,0,1
2021-12-06,Hoop Anker,213.18,4.214285714285714,20.9,49,12,2021,2,0,1
2021-12-13,Hoop Anker,84.48,8.042857142857143,1.9,50,12,2021,3,0,0
2021-12-20,Hoop Anker,3.96,1.1428571428571428,5.3,51,12,2021,4,0,0
2021-12-27,Hoop Anker,121.77,9.4,20.3,52,12,2021,5,0,1
2022-01-03,Hoop Anker,3.3,5.128571428571428,43.0,1,1,2022,6,0,1
2022-01-10,Hoop Anker,18.15,4.042857142857143,1.0,2,1,2022,7,0,0
2022-01-17,Hoop Anker,16.83,5.471428571428571,0.7,3,1,2022,8,0,0
2022-01-24,Hoop Anker,14.85,5.8,1.3,4,1,2022,9,0,0
2022-01-31,Hoop Anker,80.06,6.885714285714286,40.3,5,1,2022,10,0,1
2022-02-07,Hoop Anker,72.67,6.142857142857143,6.4,6,2,2022,11,0,0
2022-02-14,Hoop Anker,109.17,7.942857142857143,58.9,7,2,2022,12,0,1
2022-02-21,Hoop Anker,36.3,5.642857142857143,19.0,8,2,2022,13,0,1
2022-02-28,Hoop Anker,18.15,3.7285714285714286,2.8,9,2,2022,14,0,0
2022-03-07,Hoop Anker,25.74,7.185714285714285,0.5,10,3,2022,15,0,0
2022-03-14,Hoop Anker,6.6,7.971428571428571,1.7,11,3,2022,16,0,0
2022-03-21,Hoop Anker,38.94,9.157142857142857,0.39999999999999997,12,3,2022,17,0,0
2022-03-28,Hoop Anker,235.31,4.742857142857143,25.2,13,3,2022,18,0,1
2022-04-04,Hoop Anker,104.09,7.6000000000000005,39.0,14,4,2022,19,0,1
2022-04-11,Hoop Anker,65.21,10.671428571428573,0.2,15,4,2022,20,0,0
2022-04-18,Hoop Anker,187.98,11.914285714285713,0.1,16,4,2022,21,0,0
2022-04-25,Hoop Anker,48.910000000000004,8.557142857142857,3.6999999999999997,17,4,2022,22,0,0
2022-05-02,Hoop Anker,296.03,11.157142857142857,2.0999999999999996,18,5,2022,23,0,0
2022-05-09,Hoop Anker,58.410000000000004,14.37142857142857,5.9,19,5,2022,24,0,0
2022-05-16,Hoop Anker,100.39,15.757142857142856,24.300000000000004,20,5,2022,25,0,1
2022-05-23,Hoop Anker,35.64,13.185714285714285,14.7,21,5,2022,26,0,1
2022-05-30,Hoop Anker,371.6,13.285714285714286,28.9,22,5,2022,27,0,1
2022-06-06,Hoop Anker,279.66,15.057142857142859,24.9,23,6,2022,28,0,1
